FMC,0,,,5,3,,,7,7,3,1,,8,10,9,,,7,11,6,2,,4,4,2,2,1,9,16,4,1,,6,9,6,1,144
,1,,,11,7,1,,5,8,3,2,,5,10,4,1,,7,8,4,2,,3,11,4,,,9,13,2,,,5,9,5,,139
,2,,11,9,5,1,,2,8,4,2,,5,14,4,,,4,11,6,,,3,10,2,1,,9,16,5,2,,9,14,6,2,165
,3,,4,10,6,4,,2,10,4,2,,10,11,5,,,4,7,5,,,5,8,2,2,,3,9,5,3,,6,16,8,1,152
,4,,7,13,2,1,,6,9,5,2,,6,8,6,,,4,6,4,,,6,4,3,,,7,16,2,1,,8,7,6,,139
,5,,6,8,8,3,,4,9,4,1,,4,8,3,,,1,3,10,1,,3,8,5,1,,5,13,8,2,,8,8,5,,139
,6,,9,11,1,1,,2,4,3,3,,6,8,5,,,4,2,3,1,,4,5,2,1,,6,5,4,1,,2,10,4,3,110
,7,,1,7,2,2,,1,5,3,,,3,3,2,,,2,3,2,1,,1,4,2,,,3,4,5,1,,5,4,2,1,69
,8,,3,5,2,,,1,5,1,1,,,2,2,,,,2,2,,,1,4,2,1,,,6,2,1,,3,3,5,1,55
,9,,,3,1,1,,2,1,2,,,,4,,,,1,2,1,,,1,1,2,,,3,1,2,,,1,5,2,,36
,10,,2,3,,1,,1,3,2,,,,2,,1,,4,2,1,2,,,2,1,1,,,3,2,1,,1,2,1,,38
,11,,1,3,1,,,2,2,2,1,,1,1,1,3,,1,3,3,,,4,1,,2,,,2,1,1,,1,1,3,1,42
,12,,1,2,2,2,,1,2,4,,,2,4,1,,,2,3,3,3,,,4,,,,,3,1,,,1,2,,,43
,13,,2,5,3,2,,1,7,6,1,,4,4,2,,,,1,2,,,1,3,,,,3,5,,1,,1,4,2,2,62
,14,,1,4,1,,,4,4,1,2,,4,4,,2,,3,2,1,1,,1,6,5,,,3,4,1,,,1,3,,3,61
,15,,,4,2,2,,2,7,3,1,,5,10,2,2,,1,8,1,1,,11,6,4,,,1,5,2,3,,2,6,3,2,96
,16,,2,4,5,2,,5,8,2,,,3,5,1,1,,3,5,8,,,4,8,3,1,,3,9,2,2,,1,3,4,2,96
,17,,3,8,3,1,,9,11,6,1,,6,7,2,2,,2,10,2,1,,2,7,4,2,,8,4,3,1,,4,5,1,,115
,18,,4,8,4,,,6,6,4,1,,2,6,6,,,5,6,4,2,,3,10,6,,,3,11,6,3,,6,6,1,1,120
,19,,3,11,2,,,9,7,6,3,,7,8,5,,,5,7,2,1,,8,11,8,2,1,5,10,4,2,,1,2,3,3,136
,20,,2,5,3,1,,14,11,1,,,6,8,1,1,,5,12,7,1,,4,8,5,,,6,10,5,1,,2,7,2,,128
,21,,2,6,,2,,8,10,2,,,4,6,5,1,,4,9,,2,,6,12,5,,,8,5,1,,,1,2,6,,107
,22,,3,2,5,2,,8,12,2,,,5,10,4,2,,7,8,5,,1,7,13,4,3,,3,4,9,1,,1,8,3,2,134
,23,,6,4,6,5,,10,7,5,1,,8,6,8,2,,5,6,3,3,,11,12,3,,,2,8,6,,,3,8,4,,142
,Total,,73,151,74,34,,112,163,78,25,,104,159,78,18,,81,137,85,24,1,93,162,74,19,2,99,182,82,28,,79,144,82,25,2468
PLC,0,,4,22,6,1,,11,23,9,3,,9,22,10,7,,10,26,13,5,,14,18,7,4,,12,25,13,4,,4,20,12,1,315
,1,,3,10,8,3,,12,8,3,2,,6,26,11,5,,18,24,12,1,,7,21,10,2,,14,28,10,4,,13,12,10,5,288
,2,,7,14,7,,,6,12,6,,,7,13,9,2,,8,24,12,4,,6,15,9,,,9,6,8,5,,14,24,6,1,234
,3,,11,15,7,1,,13,15,5,1,,11,16,9,2,,11,28,11,2,,5,17,8,3,,6,17,8,2,,12,28,6,2,272
,4,,6,20,4,2,,4,12,5,2,,7,16,9,2,,6,11,1,,,9,6,3,,,13,16,8,2,,7,15,13,1,200
,5,,10,22,4,3,,3,10,5,2,,7,16,4,1,,8,11,5,,,2,7,4,,,11,13,5,1,,6,14,6,2,182
,6,,4,11,2,2,,2,3,1,1,,7,11,2,3,,3,13,7,1,,2,2,3,3,,6,10,5,1,,4,19,5,2,135
,7,,4,9,5,2,,1,3,1,,,3,9,2,,,2,3,1,1,,1,5,4,1,,2,8,2,1,,6,6,3,,85
,8,,3,5,3,1,,1,5,2,,,2,8,2,1,,5,5,1,,,2,7,4,1,,3,12,3,3,,2,3,3,,87
,9,,1,4,1,1,,2,,2,1,,1,8,1,3,,1,4,2,,,,3,1,6,1,2,4,2,1,,4,4,5,2,67
,10,,,5,4,1,,1,2,1,,,1,3,2,1,,3,3,,1,,1,4,4,1,,1,5,1,,,,4,,,49
,11,,,6,1,1,,3,3,2,1,,3,2,3,2,,,2,3,,,2,8,3,,,2,1,2,1,,,2,3,,56
,12,,,2,2,2,,1,4,,,,1,7,5,,,4,6,3,1,,1,8,9,,,2,6,3,1,,,2,2,,72
,13,,4,5,1,1,,2,11,,3,,7,5,3,2,,3,4,3,2,,2,6,6,1,,2,3,4,2,,2,4,1,1,90
,14,,7,3,4,2,,5,14,7,2,,7,6,4,,,6,11,2,2,,6,15,9,2,,3,4,10,1,,4,3,3,1,143
,15,,6,6,3,1,,4,8,6,2,,4,5,2,1,,5,10,4,1,,5,7,4,2,,4,4,3,2,,2,11,5,,117
,16,,2,4,8,3,,8,14,8,,,7,9,4,2,,2,10,6,3,,4,10,7,1,,5,13,4,2,,2,4,5,1,148
,17,,7,7,5,2,,10,9,5,3,,9,13,6,1,,6,5,7,2,,7,17,5,3,,8,16,8,3,,5,8,6,4,187
,18,,5,8,6,,,15,13,9,1,,4,19,11,2,,8,11,8,4,,10,15,9,1,,7,13,10,3,,3,11,6,4,216
,19,,7,11,8,3,,16,18,11,3,,8,17,6,3,,5,20,8,1,,9,14,6,5,,10,15,11,6,,3,5,8,1,238
,20,,5,7,6,5,,4,16,8,5,,11,23,12,3,,4,18,12,8,,7,23,10,3,,7,17,11,2,,2,6,6,4,245
,21,,1,8,4,1,,15,25,13,3,,10,18,12,3,,8,12,10,3,,6,18,10,3,,4,14,11,3,,4,6,6,1,232
,22,,4,10,1,2,,7,22,11,4,,7,16,15,5,,14,13,6,3,,11,17,7,2,,5,13,4,,,3,10,5,,217
,23,,8,9,8,2,,18,30,13,4,,9,17,9,8,,4,18,6,4,,11,23,7,2,,9,15,10,2,,7,9,6,1,269
,Total,,109,223,108,42,,164,280,133,43,,148,305,153,59,,144,292,143,49,,130,286,149,46,1,147,278,156,52,,109,230,131,34,4144
RGH,0,,,6,2,1,,3,10,1,1,,4,13,6,2,,3,9,5,,,5,4,7,,,4,7,3,,,3,12,6,1,118
,1,,4,10,4,1,,3,9,8,2,,3,9,5,,,6,8,5,2,,1,9,1,1,,3,5,5,1,,2,10,4,,121
,2,,6,8,5,1,,5,6,9,2,,5,6,8,1,,2,5,2,1,,2,4,1,1,,4,13,3,,,6,8,8,1,123
,3,,7,11,6,1,,2,8,6,1,,4,8,3,3,,2,4,3,2,,2,3,3,2,,6,6,1,,,3,13,7,3,120
,4,,4,12,3,2,,1,5,5,1,,4,1,2,,,3,4,1,,,,7,4,,,1,3,5,2,,4,11,8,,93
,5,,7,3,2,2,,3,3,2,,,6,4,4,1,,,2,,,,,1,3,1,,1,3,3,,,2,6,4,1,64
,6,1,1,8,3,,,2,1,2,,,1,1,1,,,3,2,3,,,1,2,,,,7,5,3,,,2,1,1,1,52
,7,,3,2,6,,,3,4,1,1,,1,3,,,,2,1,,,,,,3,,,,3,,,,,3,2,,38
,8,,3,2,6,,,1,1,1,,,,,1,,,2,2,,,,,3,,,,,1,,1,,2,3,2,,31
,9,,,5,4,,,1,5,2,,,1,,1,,,,1,1,,,2,,,,,,1,,,,,1,2,1,28
,10,,1,3,,,,1,,2,,,2,1,1,2,,,,,,,3,1,1,,,,1,2,,,1,3,1,,26
,11,1,,,,,,2,1,1,2,,,3,,,,1,1,1,1,,2,1,1,,,,2,,,,2,,2,,24
,12,,,1,1,,,1,3,1,1,,,3,1,,,1,,1,,,,4,1,,,,3,1,,,,1,,,24
,13,,,,1,1,,1,4,1,,,1,3,4,,,3,2,,,,2,5,3,1,,1,2,2,3,,1,2,,2,45
,14,,,5,2,2,,3,4,4,2,,3,6,4,,,2,1,2,,,1,5,1,,,,2,4,2,,3,1,2,,61
,15,,1,2,4,1,,3,3,4,,,1,6,3,,,2,6,1,,,3,2,4,,,2,1,1,3,,2,1,1,,57
,16,,,5,1,2,,3,5,2,1,,2,3,7,,,1,1,2,,,2,7,2,2,,,8,1,,,,1,,1,59
,17,,1,1,1,,,4,6,5,,,1,5,2,2,,3,2,3,1,,1,2,2,,,3,4,3,2,,2,,3,,59
,18,,1,4,4,1,,3,9,2,1,,4,3,,1,,4,2,3,,,5,5,3,1,,4,3,2,,,,5,1,,71
,19,,3,3,1,1,,2,2,4,2,,4,7,3,,,1,2,2,,,5,3,5,2,,3,5,4,2,,1,2,2,,71
,20,,,5,3,,,3,3,4,1,,2,5,1,,,4,3,,,,3,7,2,,,3,7,2,1,,1,1,4,1,66
,21,,2,5,1,,,1,8,5,1,,2,4,4,,,4,2,5,,,1,5,4,,,2,8,3,,,1,2,2,1,73
,22,,4,9,4,3,,7,9,5,2,,4,10,8,,,4,7,3,,,5,5,11,1,,5,6,2,,,1,6,1,,122
,23,,3,7,6,3,,9,21,9,,,5,11,2,,,8,12,4,1,,4,8,9,,,6,12,5,1,,5,10,5,1,167
,Total,2,51,117,70,22,,67,130,86,21,,60,115,71,12,,61,79,47,8,,50,93,71,12,,55,111,55,18,,44,103,68,14,1713
SHC,0,,3,11,3,4,,3,7,11,3,,9,16,9,2,,8,16,10,3,,6,15,5,1,,4,11,10,5,,3,16,10,1,205
,1,,1,4,3,4,,4,4,1,,,5,9,9,4,,5,13,6,,,2,4,4,2,,4,8,9,1,,2,9,,,117
,2,,2,3,5,1,,,6,1,1,,3,5,5,1,,3,6,5,,,2,6,2,,,3,12,3,1,,8,7,4,,95
,3,,4,4,9,1,,1,7,,1,,4,9,2,1,,3,4,2,2,,1,4,3,,,2,4,3,,,2,7,3,,83
,4,,,6,6,1,,1,3,,1,,2,4,2,,,,1,,1,,3,6,2,,,1,4,4,,,1,5,1,1,56
,5,,2,1,1,,,1,3,1,1,,2,1,,,,,1,1,,,,2,,,,,2,1,,,3,5,1,1,30
,6,,3,2,3,,,1,3,1,1,,,3,2,,,,,,,,,1,,,,,4,1,,,,2,1,,28
,7,,,1,1,,,,,1,,,1,,,,,,1,,,,1,,5,,,,2,,1,,,1,,,15
,8,,1,1,,,,2,,,1,,1,,1,,,,2,1,,,,1,,1,,,,,,,,1,1,1,15
,9,,1,1,1,,,,2,,3,,,1,1,,,,1,1,,,,,1,,,,1,2,,,,1,,,17
,10,,1,1,,,,,1,,,,1,1,,,,1,1,,,,,4,,,,,1,5,1,,1,,1,1,21
,11,,,2,2,2,,,3,,3,,1,1,3,,,1,2,4,,,2,1,1,1,,,,3,,,2,,2,,36
,12,,1,2,4,,,2,7,4,,,2,5,2,1,,,,4,,,,1,2,1,,1,2,5,,,2,2,4,2,56
,13,,,5,4,1,,2,8,7,3,,1,2,6,1,,1,4,2,1,,,6,6,,,2,4,,3,,2,2,1,2,76
,14,,1,7,3,3,,4,7,4,4,,4,11,5,1,,2,7,3,2,,2,3,2,1,,4,2,1,,,,2,5,,90
,15,,1,6,9,4,,4,9,8,,,,6,2,3,,4,4,4,3,,3,4,2,1,,,10,4,1,,2,4,1,,99
,16,,5,4,1,3,,2,14,13,1,,2,6,9,,,3,9,7,2,,2,6,5,3,,4,5,4,1,,1,,3,1,116
,17,,,8,6,3,,3,10,5,3,,2,9,7,1,,4,7,5,,,3,10,4,1,,4,7,7,,,,2,2,,113
,18,,,6,2,2,,3,19,12,2,,1,16,4,3,,1,4,6,1,,4,17,5,4,,3,9,4,4,,,4,6,1,143
,19,,5,8,5,,,1,5,12,1,,6,7,5,3,,3,7,4,3,,8,5,4,1,,6,9,7,,,3,3,1,2,124
,20,,2,5,5,5,,3,17,14,3,,3,15,3,4,,2,7,4,4,,4,9,5,3,,3,10,5,,,1,5,2,1,144
,21,,2,4,6,1,,6,13,10,3,,3,9,8,3,,1,11,7,3,,6,14,11,5,,4,8,7,5,,2,5,5,1,163
,22,,3,6,2,,,5,16,7,2,,6,15,19,1,,3,11,6,1,,5,15,7,1,,2,11,9,,,,6,4,,163
,23,,3,9,5,2,,8,18,13,4,,4,21,9,3,,6,13,8,4,,3,14,11,2,,8,12,8,3,,1,2,3,2,199
,Total,,41,107,86,37,,56,182,125,41,,63,172,113,32,,51,132,90,30,,57,148,87,28,,55,138,102,26,,36,91,61,17,2204
ACH,0,,,3,9,,,1,8,11,1,,4,13,10,1,,2,7,10,1,,,21,9,1,,1,21,9,2,,,13,10,,168
,1,,,4,4,4,,1,6,1,,,1,16,19,2,,2,13,6,3,,3,21,6,2,,2,13,10,2,,1,13,7,,162
,2,,1,9,11,1,,,9,5,,,1,17,6,,,,8,4,,,,21,5,1,,,17,4,,,3,8,6,,137
,3,,,14,7,,,2,8,3,,,2,8,5,,,1,7,3,,,,5,6,1,,,9,4,1,,1,14,5,1,107
,4,,,1,2,,,,6,1,1,,3,2,1,,,,3,2,,,1,17,2,,,,5,4,1,,3,12,4,,71
,5,,,4,,,,,7,5,,,,2,1,1,,,1,2,,,,6,,,,,2,2,,,,11,2,,46
,6,,,1,1,,,,4,,,,1,2,,,,,,,,,,,,,,,2,1,,,,8,3,,23
,7,,,1,2,,,,,1,,,,3,1,1,,,,,,,,2,1,,,,,,,,,1,,,13
,8,,,,2,1,,,1,1,,,,,2,,,,,,,,,,1,,,,1,1,,,,1,1,,12
,9,,,2,2,,,,1,1,,,,,1,1,,,,,,,,1,,,,1,1,,1,,,1,,,13
,10,,,,3,1,,,1,6,,,,2,1,,,,2,1,,,,2,2,,,,2,,,,,,2,,25
,11,,,7,,,,,3,4,1,,,3,5,,,1,1,,,,,3,1,,,,4,,,,,1,2,,36
,12,,,3,2,,,,3,2,,,,2,4,,,,1,2,,,,4,1,,,,2,2,,,,2,4,,34
,13,,,3,1,,,,4,4,1,,,2,4,2,,,3,3,,,,7,8,,,,3,3,,,,2,4,,54
,14,,1,3,1,,,,5,3,1,,,2,2,2,,,7,7,,,2,8,7,1,,,4,4,,,,3,3,1,67
,15,,,1,2,,,2,7,4,,,,2,6,,,,2,2,1,,3,4,5,1,,1,6,2,,,,,4,,55
,16,,,8,4,,,3,10,8,,,,1,8,,,,3,,1,,2,5,6,1,,1,2,4,1,,,1,5,,74
,17,,1,3,7,1,,,8,13,1,,1,5,2,,,,2,2,,,1,5,7,,,,4,,,,,4,3,,70
,18,,,6,5,,,2,9,8,1,,,1,2,,,,5,,,,,4,8,2,,,4,4,,,,2,6,,69
,19,,1,8,4,,,,5,3,1,,,6,3,,,1,6,6,,,,8,4,1,,,6,5,,,,3,3,,74
,20,,,10,7,,,2,7,12,,,,10,8,1,,,5,7,,,,14,6,,,,12,3,,,,1,3,1,109
,21,,,3,7,2,,,18,22,,,3,14,16,,,,11,19,,,1,11,12,,,1,5,7,,,,3,5,2,162
,22,,1,9,9,,,1,16,23,,,2,21,6,,,,11,12,1,,3,17,14,,,1,9,9,1,,,4,4,,174
,23,,,8,5,,,1,16,16,1,,1,24,12,1,,3,26,6,,,1,13,10,,,,12,2,,,1,8,6,,173
,Total,,5,111,97,10,,15,162,157,9,,19,158,125,12,,10,124,94,7,,17,199,121,11,,8,146,80,9,,9,116,92,5,1928
